timestamp,type,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,emg_9,emg_10,emg_11,emg_12,emg_13,emg_14,emg_15
13106,EMG,0,8,78,12,5,2,3,-1,0,-5,18,-9,-14,-4,-1,1
13130,IMU,0.95,-0.03,-0.03,-0.31,0.06,-0.07,0.90,21.56,-13.31,13.88
13155,IMU,0.95,-0.03,-0.03,-0.31,0.08,-0.06,0.90,27.00,-11.88,9.50
13156,EMG,-3,1,27,-17,1,0,2,0,-2,3,-68,-9,-3,2,-1,-3
13157,IMU,0.95,-0.02,-0.04,-0.31,0.06,-0.01,0.91,40.44,-6.31,8.81
13180,IMU,0.95,-0.02,-0.04,-0.31,0.16,0.00,0.77,41.81,-2.06,15.56
13205,EMG,0,-1,-90,-49,-2,-3,-6,2,1,-1,-128,38,-5,-2,-1,0
13206,IMU,0.95,-0.01,-0.04,-0.30,0.06,-0.05,0.86,25.87,16.00,16.87
13230,IMU,0.95,-0.01,-0.03,-0.30,0.03,-0.00,0.90,42.06,32.13,22.37
13231,EMG,-5,-8,81,-68,-14,-5,-4,1,5,-1,13,29,-10,-3,1,-1
13255,IMU,0.95,0.00,-0.03,-0.30,0.03,0.02,0.84,41.00,38.50,20.25
13256,IMU,0.96,0.01,-0.02,-0.29,0.04,0.03,0.84,21.62,54.69,21.62
13280,EMG,-5,-2,-53,98,-8,2,1,-5,-2,1,-3,14,-9,-1,-1,0
13281,IMU,0.96,0.02,-0.01,-0.29,0.02,0.04,0.91,22.44,69.75,19.50
13305,IMU,0.96,0.03,-0.00,-0.29,-0.02,0.05,0.86,26.62,71.56,8.81
13306,EMG,0,-2,10,28,13,3,2,0,0,4,65,-75,-2,4,0,3
13330,IMU,0.96,0.03,0.01,-0.28,-0.04,0.04,0.87,7.00,58.50,6.44
13355,IMU,0.96,0.03,0.02,-0.28,-0.04,0.06,0.90,-12.19,40.38,3.25
13356,EMG,1,3,15,-48,0,3,-4,0,2,3,-42,-39,-5,-3,0,3
13357,IMU,0.96,0.03,0.02,-0.28,-0.05,0.02,0.89,-23.69,18.94,2.00
13380,IMU,0.96,0.02,0.02,-0.28,-0.06,0.02,0.89,-26.62,-5.31,-0.69
13405,EMG,-4,-10,-38,-5,-5,2,-1,-2,6,-1,-58,7,-17,2,5,3
13406,IMU,0.96,0.02,0.02,-0.28,-0.07,0.04,0.92,-34.25,-26.37,-5.06
13430,IMU,0.96,0.01,0.02,-0.29,-0.04,0.02,0.90,-49.19,-36.31,-10.63
13431,EMG,0,1,79,2,5,-2,-1,-3,-4,-1,-14,-39,-8,0,1,2
13455,IMU,0.96,-0.00,0.01,-0.29,-0.04,-0.02,0.87,-45.94,-45.69,-15.81
13456,IMU,0.96,-0.01,0.00,-0.29,-0.06,-0.03,0.87,-20.56,-54.19,-20.25
13480,EMG,-7,-1,-12,-61,3,1,-2,0,-1,1,-6,-1,-2,-4,0,0
13481,IMU,0.96,-0.01,-0.01,-0.29,-0.05,-0.07,0.85,5.94,-83.94,-19.31
13505,IMU,0.95,-0.02,-0.02,-0.30,0.08,0.01,0.90,-9.31,-65.87,-10.69
13506,EMG,-2,5,-13,4,-12,-4,3,-3,2,-1,-14,3,-13,0,-3,3
13530,IMU,0.95,-0.03,-0.03,-0.30,0.11,0.09,0.89,-30.00,-56.19,-26.56
13555,IMU,0.95,-0.03,-0.03,-0.31,0.08,0.04,0.91,-26.62,-23.19,-37.13
13556,EMG,-2,1,-15,-71,-4,2,1,1,2,-1,-7,-100,-6,-2,-1,-2
13557,IMU,0.95,-0.03,-0.03,-0.32,0.10,-0.07,0.93,-26.31,-0.06,-69.19
13580,IMU,0.94,-0.04,-0.03,-0.33,0.06,-0.05,0.88,-29.31,18.50,-89.19
13605,EMG,2,-5,-1,53,3,-3,-3,-4,-1,3,5,96,10,1,3,6
13606,IMU,0.94,-0.04,-0.02,-0.35,0.15,-0.02,0.90,-25.56,40.63,-100.75
13630,IMU,0.93,-0.04,-0.01,-0.37,0.03,-0.07,0.89,-40.56,68.94,-106.06
13631,EMG,-4,-1,-32,-86,-16,1,-2,-3,0,4,4,-92,-3,-5,-1,-4
13655,IMU,0.92,-0.04,0.01,-0.39,0.01,-0.10,0.85,-49.81,74.44,-103.44
13656,IMU,0.91,-0.05,0.02,-0.40,-0.06,-0.12,0.88,-31.56,65.50,-99.00
13680,EMG,-4,-2,-2,81,-6,2,-3,-2,0,-1,-3,127,-14,-4,-6,-4
13681,IMU,0.91,-0.04,0.03,-0.42,-0.02,-0.15,0.85,-6.87,47.94,-87.62
13705,IMU,0.90,-0.04,0.03,-0.43,-0.04,-0.10,0.87,-0.69,25.00,-71.75
13706,EMG,-1,0,-3,-53,10,-1,-5,-1,1,-3,0,-22,-3,-3,-3,0
13730,IMU,0.90,-0.04,0.03,-0.44,-0.03,-0.10,0.90,-6.44,15.75,-51.63
13755,IMU,0.90,-0.04,0.03,-0.44,-0.03,-0.13,0.91,-4.25,-1.81,-41.69
13756,EMG,0,-1,-7,-40,6,-8,1,-2,3,4,3,-12,-13,-2,-6,-1
13757,IMU,0.89,-0.04,0.03,-0.45,-0.05,-0.13,0.91,19.25,-20.87,-38.44
13780,IMU,0.89,-0.04,0.02,-0.45,-0.05,-0.09,0.86,38.50,-35.19,-37.75
